ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.08,199.11,297.22,6.87,357.3,420.71,9.23,55.29,3.36,0
6.1,237.92,204.17,8.46,333.78,291.1,19.27,93.14,3.17,0
9.03,253.22,279.65,6.59,373.55,588.32,16.15,59.12,2.02,0
6.95,203.15,116.09,5.5,304.28,551.14,9.39,55.96,3.65,0
6.14,197.88,266.88,7.59,329.23,548.07,15.84,41.26,5.36,0
7.08,220.67,238.73,6.18,341.99,333.05,10.66,90.3,4.76,0
5.49,135.8,214.85,8.19,280.6,441.33,14.86,88.29,5.07,0
7.21,120.33,246.28,6.2,289.77,418.43,13.64,63.73,3.71,0
9.18,163.27,208.68,7.73,320.42,426.99,10.21,62.43,3.11,0
4.27,166.84,244.05,7.39,297.21,349.52,13.48,54.47,3.76,0
7.35,223.26,115.19,8.89,333.78,494.16,18.15,73.72,4.88,0
8.53,175.61,118.37,7.48,308.4,474.24,21.85,52.37,5.08,0
7.08,169.04,361.53,8.33,329.04,590.75,17.7,103.15,4.0,0
2.61,188.8,347.98,6.8,333.78,468.08,13.17,49.52,4.77,0
8.49,204.12,229.9,8.27,358.85,435.0,17.08,62.42,3.88,0
7.08,213.54,225.4,6.96,334.04,463.4,11.62,69.62,3.4,0
8.86,254.62,96.24,7.95,348.41,344.3,7.94,78.11,5.53,0
6.1,190.0,277.77,6.44,347.93,245.86,14.64,73.42,3.98,0
8.42,185.72,132.38,4.0,308.14,463.65,17.21,48.78,3.96,0
9.29,222.66,123.11,7.29,332.24,353.74,14.17,66.4,5.24,0
7.88,226.28,127.1,7.3,346.4,445.37,6.06,63.13,4.24,0
7.73,252.27,364.78,8.39,426.54,339.41,17.49,60.48,3.72,0
3.39,212.03,202.3,8.57,349.16,353.91,18.21,82.39,2.8,0
6.75,218.42,218.72,7.17,333.78,373.05,16.83,74.09,3.9,0
7.08,190.42,280.63,9.62,357.23,263.77,13.45,67.06,5.63,0
7.18,261.85,141.01,9.01,358.72,290.42,17.15,82.03,4.6,0
10.11,240.43,153.31,5.39,361.9,403.04,16.13,61.11,3.43,0
7.4,122.54,88.55,6.89,241.61,489.85,13.37,66.4,3.15,0
7.81,196.58,425.51,7.33,333.78,442.55,14.67,66.4,6.2,0
6.88,136.88,274.34,7.09,307.4,342.2,18.4,81.19,3.83,0
7.08,146.97,163.67,7.69,333.78,468.95,18.6,49.56,4.66,0
7.08,230.81,274.19,7.14,369.31,274.66,9.58,72.38,4.2,0
7.52,267.06,268.65,10.45,333.78,505.71,16.24,57.04,2.88,0
8.55,231.25,289.18,7.82,369.26,432.29,16.27,73.15,3.77,0
10.31,217.22,276.53,8.91,369.53,382.95,6.58,59.58,3.29,0
7.08,252.67,293.69,9.91,433.95,465.22,13.22,84.2,5.05,0
7.37,207.72,249.14,9.62,362.3,363.17,11.54,67.72,4.41,0
11.18,228.3,166.0,6.09,333.78,504.05,15.04,110.74,3.81,0
6.51,202.29,170.87,6.2,326.66,481.77,16.54,46.21,3.55,0
6.64,151.89,109.09,3.75,240.94,437.91,15.26,64.2,3.81,0
5.03,155.32,349.72,7.12,320.12,500.64,18.31,63.19,3.24,0
6.91,155.74,179.73,4.92,275.91,439.65,18.38,55.51,2.61,0
7.98,245.9,321.7,9.64,399.58,473.66,11.73,23.82,3.55,0
6.08,197.5,359.58,8.13,379.53,360.06,20.1,41.87,4.2,0
6.24,191.91,281.49,7.13,319.31,448.24,19.37,60.94,4.51,0
6.06,160.77,147.75,7.48,305.83,327.27,12.31,69.04,3.47,0
8.13,177.9,278.34,9.01,334.44,397.02,15.94,81.39,3.36,0
9.56,202.01,130.42,5.82,327.12,433.38,14.14,63.55,3.76,0
8.17,200.91,271.41,7.26,344.16,525.6,16.14,66.23,4.29,0
8.59,270.02,157.92,5.91,333.78,672.56,20.18,54.96,3.57,0
7.08,167.39,209.45,4.96,333.78,566.34,11.32,66.4,3.68,0
6.83,187.05,461.4,6.14,352.7,373.43,12.61,58.75,3.03,0
7.86,204.27,251.45,7.92,338.21,469.49,15.99,86.17,4.16,0
4.97,220.85,218.03,6.25,311.6,386.41,18.04,53.91,3.42,0
6.21,192.94,134.43,5.82,325.91,533.8,14.69,60.49,3.55,0
7.08,157.0,200.67,8.07,333.78,490.91,17.32,71.97,4.42,0
9.77,264.27,84.72,8.35,359.27,353.2,15.05,52.65,4.64,0
9.63,152.86,236.42,6.93,333.15,417.17,16.67,90.0,4.92,0
5.19,104.75,200.6,6.91,333.78,368.82,15.14,98.66,3.2,0
7.63,199.65,163.12,9.9,358.57,420.53,10.54,100.24,2.93,0
5.77,155.05,249.09,6.53,297.01,313.7,11.7,85.69,4.69,0
6.58,197.23,176.57,4.51,290.29,254.39,9.85,73.75,4.58,0
4.8,180.77,135.57,8.98,322.06,587.4,12.4,62.03,4.42,0
7.95,238.24,191.29,5.85,333.78,434.66,8.66,67.3,3.69,0
6.91,216.79,199.91,7.3,340.11,356.46,9.61,61.12,2.12,0
7.08,281.27,224.52,6.77,343.64,395.34,14.9,67.13,4.44,0
7.08,190.78,122.24,4.65,308.56,399.27,11.88,61.89,3.46,0
8.46,212.58,344.07,8.68,384.86,477.34,13.8,66.4,3.77,0
7.73,233.95,216.68,6.31,340.27,472.26,14.4,36.58,3.72,0
7.08,247.66,195.49,8.77,333.78,438.87,16.62,64.95,3.78,0
8.93,241.88,228.21,8.55,367.98,380.2,10.86,75.86,4.6,0
6.21,153.22,173.59,8.21,328.28,481.2,14.27,62.72,4.33,0
6.13,141.49,96.16,7.63,277.95,415.01,16.44,50.69,4.63,0
7.08,202.25,119.82,9.19,339.98,416.59,14.08,62.77,2.68,0
7.31,274.7,146.01,8.11,384.56,415.61,16.76,68.94,3.7,0
7.08,170.1,399.06,6.55,333.78,515.39,13.52,40.51,4.35,0
8.64,201.57,264.74,6.97,352.31,309.98,17.67,68.66,5.26,0
7.08,205.51,204.07,6.81,355.27,482.33,12.34,70.58,4.1,0
8.15,127.14,102.81,5.83,267.64,487.91,11.94,90.62,2.91,0
8.29,206.16,352.16,6.44,347.06,399.48,16.07,79.95,3.95,0
7.08,233.85,211.36,6.69,333.78,332.74,9.75,77.53,3.31,0
7.08,237.68,260.09,7.07,372.6,344.77,14.44,72.7,3.71,0
9.49,234.07,155.14,4.74,333.78,277.97,16.7,81.43,4.22,0
7.83,190.8,76.95,4.85,292.52,507.45,15.53,85.01,4.59,0
4.43,139.69,288.62,8.96,298.38,434.78,17.3,63.04,4.38,0
7.24,201.19,237.83,7.75,340.98,579.22,13.49,62.65,3.56,0
7.08,260.21,195.18,8.76,368.82,251.02,12.8,48.65,3.67,0
6.87,174.18,241.12,5.53,297.66,484.12,11.48,65.3,3.82,0
6.13,200.28,309.9,8.83,348.87,341.39,9.3,79.55,4.62,0
7.92,278.06,271.92,9.22,424.79,358.78,15.05,56.84,3.66,0
6.51,181.87,291.37,7.69,345.75,475.34,12.32,52.44,4.85,0
5.32,232.37,376.26,8.88,380.58,580.9,12.29,55.31,2.88,0
6.77,168.94,110.67,7.12,305.79,289.54,18.55,62.0,5.22,0
5.88,141.62,136.52,5.7,279.78,538.5,12.03,67.91,4.03,0
9.53,201.96,94.73,6.11,319.58,259.64,15.63,66.4,2.77,0
6.34,225.03,452.23,5.81,363.01,435.5,11.39,80.67,3.69,0
8.66,284.1,270.88,7.9,333.78,512.28,16.91,72.47,3.67,0
5.65,146.59,164.62,6.5,299.64,272.44,13.8,87.82,5.2,0
6.63,112.3,258.4,7.66,312.25,327.25,19.41,85.79,4.19,0
7.79,176.87,183.45,7.57,338.23,371.22,9.04,76.29,4.17,0
7.59,261.57,183.71,6.3,333.78,387.63,16.58,51.83,3.38,0
7.36,185.69,162.68,5.32,316.92,419.26,16.02,64.68,4.41,0
9.32,129.82,160.02,4.41,271.67,499.84,13.08,82.84,4.21,0
3.72,248.86,235.91,7.68,351.56,427.5,20.39,38.6,2.72,0
6.66,216.44,205.72,8.98,333.78,336.83,17.75,71.7,2.95,0
9.87,214.17,153.27,3.35,297.08,424.29,19.19,70.07,3.36,0
5.59,229.19,353.71,7.99,333.78,469.41,13.28,76.99,4.73,0
5.55,229.12,313.44,7.76,333.78,306.87,13.97,87.27,2.1,0
4.13,125.47,112.16,5.37,261.44,445.24,18.58,86.43,4.46,0
5.97,230.45,163.24,5.29,315.19,327.79,13.33,39.55,5.43,0
7.08,229.77,161.62,4.93,333.78,448.85,8.82,66.4,4.6,0
8.37,183.5,129.76,6.6,315.9,493.47,12.99,87.03,3.63,0
6.28,190.02,122.07,7.91,333.78,395.26,13.25,58.93,3.38,0
11.27,161.9,60.4,7.21,333.78,316.54,11.77,25.53,4.15,0
9.3,163.04,139.91,4.25,333.78,399.48,15.37,83.92,3.68,0
7.9,154.27,77.7,7.21,258.31,407.73,16.42,63.02,4.24,0
7.95,269.81,344.41,6.96,390.1,425.63,13.75,56.64,3.7,0
10.03,224.27,149.62,7.43,336.97,517.51,18.86,65.36,4.18,0
6.49,225.48,348.64,8.95,385.51,324.51,12.7,97.11,4.59,0
5.87,207.73,222.44,6.6,352.56,465.62,14.84,77.82,4.69,0
7.08,220.81,214.1,6.32,335.85,382.2,9.5,86.99,3.66,0
5.3,160.97,253.0,6.29,300.5,497.79,15.01,61.12,4.17,0
7.53,186.92,116.43,5.89,333.78,363.51,10.74,49.57,3.46,0
4.08,207.84,181.95,7.92,333.78,288.37,13.31,35.82,2.76,0
7.08,105.86,379.28,5.61,333.78,358.89,12.21,71.12,3.87,0
7.09,189.15,43.04,3.62,259.37,400.9,12.99,63.9,3.42,0
6.27,213.44,248.46,8.37,333.78,543.39,17.92,84.58,5.3,0
7.96,276.73,171.62,7.84,397.43,514.42,14.53,60.56,3.45,0
8.88,228.92,284.88,5.32,351.96,474.77,14.68,52.58,4.01,0
7.08,192.45,182.58,7.47,313.78,462.4,13.93,53.19,4.36,0
6.61,141.13,256.49,7.22,295.24,374.77,14.04,74.3,3.54,0
7.74,137.32,167.24,7.68,282.54,595.33,18.76,63.04,2.15,0
9.93,238.71,107.05,6.11,351.6,405.9,13.55,59.46,4.7,0
9.0,202.99,195.23,7.24,330.36,366.49,15.69,55.7,4.9,0
5.1,273.41,263.07,10.22,380.2,513.88,18.27,61.43,4.35,0
8.59,263.76,232.2,6.39,383.96,588.85,13.58,86.19,4.75,0
7.08,112.82,85.8,4.21,234.85,434.75,23.4,94.16,3.89,0
7.68,180.7,121.06,5.4,296.24,469.84,15.83,61.8,3.78,0
7.08,133.81,182.73,5.91,333.78,415.21,11.5,92.98,3.31,0
6.42,208.76,307.6,7.77,333.78,523.6,20.23,66.4,3.1,0
4.44,178.96,250.09,4.95,298.58,429.54,17.73,56.35,3.27,0
6.98,183.24,231.14,6.5,323.16,470.08,16.08,66.0,4.77,0
6.62,203.03,171.67,6.05,311.73,410.24,15.91,65.02,2.92,0
3.66,201.1,281.03,5.68,330.02,291.15,17.47,75.1,3.32,0
4.81,205.21,176.5,8.12,350.49,414.03,11.0,47.4,5.19,0
5.78,199.59,241.6,9.46,333.78,428.55,16.02,64.87,4.66,0
6.94,177.58,126.26,7.38,333.78,439.62,9.35,83.16,3.72,0
7.44,208.09,285.45,6.5,339.02,522.79,17.12,65.31,3.73,0
4.72,252.27,228.33,5.92,378.56,411.3,16.58,66.73,3.92,0
9.38,265.06,151.57,4.27,333.33,503.17,11.29,99.02,4.03,0
7.81,187.32,204.19,7.21,325.23,351.19,16.8,68.49,4.03,0
9.44,143.79,207.25,7.7,333.78,469.76,14.22,66.08,4.41,0
9.41,216.76,279.49,6.16,355.47,347.98,16.34,32.11,3.1,0
6.32,207.26,85.32,5.99,286.49,491.77,10.55,74.5,4.5,0
7.08,217.37,179.84,8.59,333.78,409.22,10.21,18.4,3.61,0
4.71,103.17,195.56,6.77,333.78,370.18,9.18,93.9,3.44,0
8.9,222.26,88.71,6.01,332.0,425.23,10.85,66.4,3.7,0
6.58,272.98,371.69,8.11,416.08,351.48,15.13,79.26,4.2,0
6.76,231.26,185.37,8.76,342.55,385.11,13.89,79.3,5.16,0
9.45,145.81,131.69,9.44,310.58,592.66,8.61,77.58,3.88,1
9.02,128.1,198.6,8.02,300.15,451.14,14.77,73.78,3.99,1
7.08,169.97,234.04,8.52,333.78,475.57,12.92,50.86,2.75,1
6.8,242.01,391.43,9.5,187.17,376.46,11.43,73.78,3.85,1
7.17,203.41,204.01,7.68,287.09,315.55,14.53,74.41,3.94,1
7.66,236.96,142.46,6.29,373.17,416.62,10.46,85.85,2.44,1
8.32,207.25,280.5,8.83,297.81,358.73,18.71,60.91,4.05,1
5.93,223.86,232.5,4.6,333.78,277.38,11.37,66.62,5.22,1
9.8,98.77,273.57,9.22,323.2,512.43,14.17,59.45,2.76,1
6.1,215.27,159.77,8.86,308.48,417.84,13.15,62.51,3.54,1
5.0,280.08,268.49,6.13,374.23,297.61,15.57,70.56,3.4,1
4.82,217.69,163.92,7.46,278.74,481.48,15.52,77.69,4.38,1
6.55,278.59,255.08,6.75,366.87,497.32,16.56,79.32,3.61,1
13.18,196.38,192.38,8.91,375.15,500.25,12.08,66.4,4.11,1
6.62,233.66,195.99,4.7,432.56,401.67,11.77,73.19,4.44,1
7.79,212.69,298.79,7.0,360.67,359.57,14.83,83.86,3.37,1
5.19,211.09,148.66,7.24,323.11,388.72,17.78,83.51,3.86,1
5.63,230.86,144.42,5.21,333.78,346.55,11.37,43.2,1.94,1
6.87,251.29,217.29,8.8,279.78,539.47,12.99,56.41,4.73,1
9.06,155.36,157.37,7.25,343.23,463.39,17.85,83.18,3.65,1
7.29,127.54,277.84,9.75,247.34,439.65,17.29,59.56,5.33,1
7.28,175.22,226.45,7.89,293.31,373.35,17.41,56.8,5.06,1
6.51,229.26,224.75,12.58,192.03,479.5,9.98,66.67,4.61,1
7.21,175.87,358.04,8.07,320.1,468.56,16.16,71.15,3.76,1
7.08,156.52,161.46,6.63,352.35,629.28,13.51,42.34,3.77,1
5.32,280.09,353.45,13.04,180.21,392.42,10.5,55.08,4.43,1
7.08,169.47,298.47,5.44,350.4,353.03,18.96,30.39,3.49,1
5.33,224.79,288.97,6.05,333.78,360.18,12.25,67.15,5.09,1
10.76,81.71,260.0,8.48,318.43,392.7,12.72,52.25,4.66,1
6.29,258.3,137.77,7.48,328.68,563.43,16.46,73.52,4.1,1
9.79,129.87,206.83,9.39,291.98,427.12,11.85,78.71,2.95,1
8.21,167.1,139.33,10.42,243.49,391.07,13.75,61.06,4.98,1
6.94,173.33,201.12,6.7,333.78,374.49,19.94,66.4,4.56,1
10.36,136.32,486.22,9.16,327.92,365.72,17.98,77.36,4.2,1
7.96,171.48,236.26,9.54,259.98,327.62,16.12,107.75,4.7,1
3.88,243.81,77.52,0.53,333.78,341.29,12.99,60.11,3.73,1
5.67,216.04,159.49,7.5,333.78,372.54,17.9,77.46,3.83,1
10.0,143.09,461.14,12.91,333.78,574.56,16.96,36.77,4.75,1
6.55,198.81,340.06,8.69,274.9,477.16,14.37,78.17,4.69,1
7.63,156.79,262.44,8.34,255.04,495.97,13.63,65.6,4.18,1
4.79,268.72,178.62,4.55,377.24,608.85,10.81,83.7,3.26,1
7.71,181.94,65.53,5.39,390.6,516.28,17.01,58.24,4.29,1
8.29,211.22,200.08,8.77,275.77,475.91,12.61,66.61,3.42,1
6.19,225.68,128.84,4.74,333.78,389.41,14.56,76.46,3.47,1
9.03,121.44,156.18,6.16,372.93,390.66,15.03,63.13,4.93,1
6.14,236.67,80.81,6.25,333.78,416.24,12.78,106.04,3.26,1
7.13,178.37,258.41,7.49,312.98,323.3,16.41,69.16,3.42,1
7.08,191.29,219.48,5.63,355.49,509.41,16.69,84.11,4.11,1
5.42,187.78,359.03,4.36,333.78,454.52,6.37,103.37,4.51,1
8.08,195.8,294.84,10.49,298.74,321.75,9.75,72.73,3.68,1
7.08,225.29,225.12,7.06,377.13,291.35,11.59,72.51,4.08,1
10.05,132.83,115.57,8.55,323.51,442.77,13.38,92.18,5.13,1
5.67,229.93,169.54,8.77,293.57,554.12,14.25,54.44,3.63,1
7.08,181.69,277.76,7.59,298.23,417.63,8.63,72.92,3.81,1
8.92,135.94,279.2,12.36,333.78,415.63,11.95,69.31,4.16,1
6.43,225.61,155.96,6.15,333.78,466.04,18.02,87.16,4.18,1
6.96,201.72,113.49,4.3,333.78,468.59,10.49,89.69,4.98,1
5.87,203.33,192.17,9.21,333.78,420.29,11.12,65.23,5.41,1
6.8,187.78,153.01,7.49,316.96,498.67,19.6,55.4,5.16,1
10.04,113.83,162.66,7.94,363.87,557.49,13.2,75.23,3.81,1
7.08,273.26,445.06,8.41,233.79,485.65,14.71,52.16,4.12,1
7.3,235.74,360.44,5.2,377.19,385.61,17.05,89.62,4.17,1
7.08,161.83,292.99,7.03,350.43,375.78,19.76,86.7,3.5,1
5.86,185.07,440.69,4.38,412.69,331.57,15.31,59.61,5.51,1
7.29,174.48,339.92,9.51,259.16,435.11,16.29,81.69,4.47,1
8.06,200.49,115.68,9.89,333.78,510.41,10.65,40.99,4.47,1
7.82,157.18,233.18,9.08,324.85,294.64,17.19,72.57,3.53,1
11.3,77.46,392.28,8.52,337.5,410.86,14.33,53.12,3.31,1
6.59,233.51,255.9,9.79,333.78,489.7,14.39,46.46,2.35,1
9.16,119.84,266.18,6.11,343.29,379.73,10.9,54.58,4.89,1
7.08,144.82,145.07,5.82,353.61,290.89,8.94,67.59,5.92,1
4.64,307.71,161.16,7.71,333.78,439.94,18.44,60.15,3.98,1
7.8,188.39,327.05,11.08,258.19,507.18,18.27,85.18,4.11,1
5.56,256.21,112.46,7.21,329.34,369.56,15.64,51.15,2.29,1
7.89,213.05,388.52,11.17,281.7,326.12,10.39,64.66,4.59,1
7.44,193.12,135.52,4.31,333.78,430.49,19.4,72.08,2.66,1
3.66,275.77,237.37,9.1,333.78,426.23,17.99,55.69,3.31,1
9.6,167.09,211.53,7.94,346.08,335.2,14.35,50.64,5.15,1
6.96,212.76,299.57,7.68,321.25,378.09,13.13,72.09,3.99,1
7.67,152.88,229.89,6.23,343.44,401.14,14.25,64.29,4.27,1
6.74,220.1,246.95,8.37,333.78,384.31,6.75,8.18,4.06,1
7.08,163.22,185.7,8.11,296.19,463.74,16.9,61.35,4.14,1
5.38,240.02,181.89,5.55,397.7,551.48,12.82,79.78,4.17,1
7.02,264.53,159.78,10.96,262.06,412.71,5.32,76.02,4.97,1
7.08,250.71,273.56,6.48,377.36,559.82,13.65,77.92,2.97,1
10.03,94.09,255.1,6.61,385.4,388.47,11.89,69.27,3.74,1
5.58,261.23,352.79,6.59,333.78,278.64,13.57,83.27,3.87,1
7.95,221.37,186.21,6.88,333.78,309.25,19.06,72.69,5.26,1
5.5,254.67,210.83,8.37,347.82,469.8,13.5,60.05,4.18,1
7.54,161.62,191.16,8.49,289.96,440.28,13.34,80.24,3.63,1
6.85,159.19,128.38,5.16,373.99,558.82,12.25,69.77,4.4,1
7.08,181.21,302.81,10.38,256.63,488.0,11.35,68.84,3.78,1
5.91,282.74,152.45,6.64,363.38,695.37,13.14,89.8,3.66,1
8.72,153.98,117.34,7.12,333.78,447.03,12.74,39.93,3.21,1
6.02,221.15,166.56,5.2,333.78,383.21,22.52,81.63,4.42,1
9.57,173.11,387.87,5.15,444.97,492.41,12.9,48.48,4.2,1
4.3,278.15,196.72,4.96,414.64,330.07,11.29,70.67,4.16,1
3.55,196.38,389.69,8.93,333.78,514.76,10.16,71.1,3.97,1
8.53,157.7,182.04,8.93,309.54,498.65,12.29,52.03,3.78,1
8.07,174.12,213.66,7.49,315.18,497.02,11.42,46.21,3.76,1
9.16,186.67,157.97,8.15,333.81,425.75,12.18,112.62,4.53,1
8.85,188.92,320.33,13.13,182.4,479.79,12.07,77.67,4.01,1
9.5,185.88,180.88,7.53,388.77,409.45,12.4,63.36,4.17,1
8.05,198.99,90.25,7.22,338.4,328.43,9.14,42.75,3.63,1
2.8,311.38,269.31,7.12,333.78,521.14,14.24,42.08,3.66,1
6.43,188.98,119.65,7.57,365.45,502.99,13.87,96.82,3.73,1
7.76,213.05,252.6,7.64,363.68,543.53,15.25,107.19,4.17,1
7.75,239.79,293.31,10.71,217.0,441.53,16.39,66.4,2.51,1
5.12,225.66,309.14,6.21,371.65,356.86,8.07,77.39,3.94,1
7.48,218.26,120.88,4.87,407.3,518.38,17.12,56.71,4.26,1
5.37,201.33,194.1,3.24,384.56,350.18,13.45,66.4,3.64,1
7.06,140.61,179.42,6.28,376.05,402.59,12.44,29.47,3.4,1
6.88,190.84,219.79,5.63,363.83,349.19,9.55,68.41,4.55,1
4.81,250.18,114.66,4.36,398.16,607.03,18.21,62.51,3.02,1
4.99,242.62,139.01,6.47,333.78,429.83,17.27,61.25,3.15,1
